Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
BAO_157,5,3,3,2,2,tbr  adg
BAO_158,4,3,5,2,2,tbr  adg
BAO_159,3,2,5,2,2,tbr  adg
BAO_160,3,2,2,2,4,tbr  adg
BAO_161,4,2,2,2,4,tbr  adg
BAO_162,4,2,5,2,4,tbr  adg
BAO_163,4,2,2,2,4,tbr  adg
BAO_164,4,2,5,2,4,tbr  adg
BAO_165,3,4,5,4,4,tbr  adg
BAO_166,4,4,4,4,4,tbr  adg
BAO_167,4,4,5,4,4,tbr  adg
BAO_168,4,4,5,4,4,tbr  adg
BAO_169,5,2,5,2,2,tbr  adg
BAO_170,5,2,2,2,2,tbr  adg
BAO_171,4,2,2,2,4,tbr  adg
BAO_172,5,2,2,2,4,tbr  adg
BAO_173,4,4,4,4,4,tbr  adg
BAO_174,4,4,5,4,4,tbr  adg
BAO_175,5,4,4,4,4,tbr  adg
BAO_176,4,2,2,2,4,tbr  adg
BAO_177,4,4,5,4,4,tbr  adg
BAO_178,4,2,5,2,4,tbr  adg
BAO_179,4,2,2,2,4,tbr  adg
BAO_180,4,2,2,2,4,tbr  adg
BAO_181,3,4,5,4,4,tbr  adg
BAO_182,3,4,5,4,4,tbr  adg
BAO_183,3,4,5,4,4,tbr  adg
BAO_184,4,4,5,4,4,tbr  adg
BAO_185,4,4,4,4,4,tbr  adg
BAO_186,4,4,4,4,4,tbr  adg
BAO_187,5,2,2,2,4,tbr  adg
BAO_188,3,2,2,2,4,tbr  adg
BAO_189,5,4,4,4,4,tbr  adg
BAO_191,5,4,5,4,4,tbr  adg
BAO_192,5,4,5,4,4,tbr  adg
BAO_194,4,4,5,4,4,tbr  adg
BAO_195,4,2,2,2,4,tbr  adg
BAO_196,3,4,5,4,4,tbr  adg
BAO_197,4,4,5,4,4,tbr  adg
BAO_198,4,3,5,2,2,tbr  adg
BAO_199,2,3,3,2,2,tbr  adg
BAO_200,4,4,5,4,4,tbr  adg
BAO_202,4,4,5,4,4,tbr  adg
BAO_203,5,4,5,4,4,tbr  adg
BAO_204,3,4,5,4,4,tbr  adg
BAO_206,4,4,5,4,4,tbr  adg
BAO_207,3,4,4,4,4,tbr  adg
BAO_208,4,4,4,4,4,tbr  adg
BAO_209,5,4,4,4,4,tbr  adg
BAO_210,5,4,4,4,4,tbr  adg
BAO_211,3,4,4,4,4,tbr  adg
BAO_212,5,4,4,4,4,tbr  adg
BAO_213,4,4,5,4,4,tbr  adg
BAO_214,4,4,5,4,4,tbr  adg
BAO_215,4,2,5,2,4,tbr  adg
BAO_216,4,2,5,2,4,tbr  adg
BAO_217,5,2,5,2,4,tbr  adg
BAO_218,5,2,5,2,4,tbr  adg
BAO_219,4,4,5,4,4,tbr  adg
BAO_220,3,2,5,2,4,tbr  adg
BAO_221,4,2,2,2,4,tbr  adg
BAO_222,4,2,5,2,4,tbr  adg
BAO_223,4,2,5,2,4,tbr  adg
BAO_224,4,4,5,4,4,tbr  adg
BAO_225,3,4,5,4,4,tbr  adg
BAO_226,4,4,5,4,4,tbr  adg
BAO_227,4,4,5,4,4,tbr  adg
BAO_228,4,4,4,4,4,tbr  adg
BAO_229,5,2,5,2,4,tbr  adg
BAO_230,4,4,5,4,4,tbr  adg
BAO_231,4,2,5,2,4,tbr  adg
BAO_232,3,3,3,2,4,tbr  adg
BAO_233,4,4,5,4,4,tbr  adg
BAO_234,4,2,5,2,4,tbr  adg
BAO_235,3,4,5,4,4,tbr  adg
BAO_236,4,4,5,4,4,tbr  adg
BAO_237,3,4,4,4,4,tbr  adg
BAO_238,3,4,5,4,4,tbr  adg
BAO_240,5,4,4,4,4,tbr  adg
BAO_241,3,4,5,4,4,tbr  adg
BAO_242,4,4,5,4,4,tbr  adg
BAO_243,4,4,4,4,4,tbr  adg
BAO_244,4,4,4,4,4,tbr  adg
BAO_245,4,4,5,4,4,tbr  adg
BAO_246,5,4,5,4,4,tbr  adg
BAO_247,5,4,5,4,4,tbr  adg
BAO_248,4,4,5,4,4,tbr  adg
BAO_249,3,2,5,2,4,tbr  adg
BAO_250,3,4,5,4,4,tbr  adg
BAO_251,3,4,4,4,4,tbr  adg
